API Name,Description,API Endpoints,Document Link
treatment_plan_phases,Returns treatment plan phases information from practice,https://api.sikkasoft.com/v4/treatment_plan_phases,https://apidocs.sikkasoft.com/#3c921047-fb30-4075-9313-9035ef7a9523
vendors,Returns vendors data from practice (applicable to veterinary),https://api.sikkasoft.com/v4/vendors,https://apidocs.sikkasoft.com/#6689c6c4-04a8-41a5-b3c2-a0a66d00768c
veterinary_clinics,Returns veterinary clinic information,https://api.sikkasoft.com/v4/veterinary_clinics,https://apidocs.sikkasoft.com/#064df785-5b38-4651-a988-7cc067b9d80e
insurance_eligibility,Returns insurance eligibility,https://api.sikkasoft.com/v4/insurance_eligibility,https://apidocs.sikkasoft.com/#9bd3c454-6d13-439f-8ed3-8e5f0b6e1e6e
optometry_product_details,Return the list of optometry products,https://api.sikkasoft.com/v4/optometry_product_details?fields=get_all,https://apidocs.sikkasoft.com/#2fa2205e-a074-4cb4-a0cd-de387816b271
lab_test_details,Return the lab test details,https://api.sikkasoft.com/v4/lab_test_details?category=labname,https://apidocs.sikkasoft.com/#11f22881-500b-4dc0-bb65-07fd165e7889
patient_documents_display,Return patient documents stored in practice management systems. You can download actual document from link provided in API response. Link will be valid 24 hours.,https://api.sikkasoft.com/v4/patient_documents_display,https://apidocs.sikkasoft.com/#a41a6e35-04d0-46bd-8357-8e72a376e22e
patient_balance,Return patient balance from practice management systems.,https://api.sikkasoft.com/v4/patient_balance,https://apidocs.sikkasoft.com/#f24e3b18-ddee-48c5-a44e-79dbc281ffa7
suspended_credit_transactions,Return patient's suspended credit transactions balance from practice management systems.,https://api.sikkasoft.com/v4/suspended_credit_transactions,https://apidocs.sikkasoft.com/#21813ac3-7bc6-4e4d-91de-61024da2dbe9
preregistered_appointments,"Return incoming or referral patient information, before they are actually added as an official patient.",https://api.sikkasoft.com/v4/preregistered_appointments,https://apidocs.sikkasoft.com/#3ddebff6-40ab-4ce7-b72b-01fb0e2e1df8
preregistered_patients,"Return incoming or referral patient information, before they are actually added as an official patient.",https://api.sikkasoft.com/v4/preregistered_patients,https://apidocs.sikkasoft.com/#286c6ad1-2dd5-4e95-b83e-217fdf18ee3a
guarantor_patient_mapping,Returns guarantors details associated with patient,https://api.sikkasoft.com/v4/guarantor_patient_mapping,https://apidocs.sikkasoft.com/#3d31da06-326a-4a5b-816f-bceba37ad9c1
patient_addresses,Returns patient address details,https://api.sikkasoft.com/v4/patient_addresses,https://apidocs.sikkasoft.com/#23998fcc-c429-43a7-814d-ca5809a82399
patient_charts,"Returns patient charts details with surface, chart date and tooth number.",https://api.sikkasoft.com/v4/patient_charts,https://apidocs.sikkasoft.com/#e34933c7-81bc-42d5-a108-a0fbc3ceb3e2
many_guarantors_one_patient,Returns guarantors details associated with patient,https://api.sikkasoft.com/v4/many_guarantors_one_patient,https://apidocs.sikkasoft.com/#92b50c05-0517-4e0a-8214-86a58c30f4d2
provider_mapping,Returns provider mapping,https://api.sikkasoft.com/v4/provider_mapping,https://apidocs.sikkasoft.com/#ebfa354c-1edc-434d-8921-340996cebbcc
authorized_practices,This API will give you the list of practices from which you can access data,https://api.sikkasoft.com/v4/authorized_practices,https://apidocs.sikkasoft.com/#e6385d30-cfdc-43fb-ab01-6b592c047173
applications,Returns your application details.,https://api.sikkasoft.com/v4/applications,https://apidocs.sikkasoft.com/#3ea74ba0-e640-4521-a4ca-e7086b2fea3d
animal_vital_signs,Returns vital signs details of pat. This API is for veterinary practices.,https://api.sikkasoft.com/v4/animal_vital_signs,https://apidocs.sikkasoft.com/#a5d54b8f-be66-460b-b6b3-d6469078477f
practice_schedule,Returns practice schedule details.,https://api.sikkasoft.com/v4/practice_schedule,https://apidocs.sikkasoft.com/#517d3041-3e21-40df-b3d8-9bdda5d1abb7
veterinary_product_details,Returns product details for veterinary practice.,https://api.sikkasoft.com/v4/veterinary_product_details,https://apidocs.sikkasoft.com/#49936fcd-a37a-47a5-8aef-9bbc0ec46b03
products,Returns product list. This API is for veterinary practices.,https://api.sikkasoft.com/v4/products,https://apidocs.sikkasoft.com/#83f778a5-481a-4b3c-b13c-9a2bbee71813
practice_resources,Return practice resources.,https://api.sikkasoft.com/v4/practice_resources,https://apidocs.sikkasoft.com/#dba51927-5c71-4784-b73d-054d184856ed
veterinary_product_inventory,Returns product inventory for the veterinary practices.,https://api.sikkasoft.com/v4/veterinary_product_inventory,https://apidocs.sikkasoft.com/#58b3bf55-871e-4a0e-9631-7932955c5ab4
lab_results,Returns lab results details. This API is for veterinary practices.,https://api.sikkasoft.com/v4/lab_results,https://apidocs.sikkasoft.com/#f1ab39d9-b621-4621-af26-4517c7668c26
hearing_aid_products,Returns product list for hearing care.,https://api.sikkasoft.com/v4/hearing_aid_products,https://apidocs.sikkasoft.com/#ca9e933a-52aa-4a06-937e-7072aa8fae1f
hearing_care_product_details,Returns product details for hearing care.,https://api.sikkasoft.com/v4/hearing_care_product_details,https://apidocs.sikkasoft.com/#185831f3-1372-42b7-9245-d84b075e169e
manufacturers,Return manufactures details with contact details.,https://api.sikkasoft.com/v4/manufacturers,https://apidocs.sikkasoft.com/#f062260e-2ddb-48da-9f5c-20b862ad9694
pending_procedures,Returns pending procedures for the patient with available balance data from practice,https://api.sikkasoft.com/v4/pending_procedures,https://apidocs.sikkasoft.com/#9086881d-f5cc-4435-93fe-1ed8dec926ce
operatories,Returns operatories available in practice.,https://api.sikkasoft.com/v4/operatories,https://apidocs.sikkasoft.com/#664a5d7e-a51b-4e37-95dd-a9bba44432aa
patient360,"Returns patient details with appointments, transactions, claims, treatment plans. You can get patient 360 details available in the practice using this API.",https://api.sikkasoft.com/v4/patient360,https://apidocs.sikkasoft.com/#9086881d-f5cc-4435-93fe-1ed8dec926ce
xrays,Returns patient xray details.,https://api.sikkasoft.com/v4/xrays,https://apidocs.sikkasoft.com/#f8e6caef-6315-4f32-80fb-05efd551c8d5
kpis,A key performance indicator (KPI) is a business metric used to evaluate factors that are crucial to the success of an organization.KPIs give you unique views of practice data that lead to action items to drive increased revenue and save valuable practice time.,https://api.sikkasoft.com/v4/kpis,https://apidocs.sikkasoft.com/#033c595a-15bb-4f52-91b2-cebff8c7cfc3
kpis details,A key performance indicator (KPI) is a business metric used to evaluate factors that are crucial to the success of an organization. KPIs give you unique views of practice data that lead to action items to drive increased revenue and save valuable practice time.,https://api.sikkasoft.com/v4/kpis?kpi_name&practice_id&startdate&enddate,https://apidocs.sikkasoft.com/#6ac954e1-f007-4b18-b716-9ad9b4abde44
finance/balances,Returns balance details data from practice's finance system.,https://api.sikkasoft.com/v4/finance/balances,https://apidocs.sikkasoft.com/#30fb7a8d-eb9e-4f31-a5d7-47b672758f69
finance/payroll_details,Returns payroll details data from practice's finance system.,https://api.sikkasoft.com/v4/finance/payroll_details,https://apidocs.sikkasoft.com/#a7441fc6-677d-4fa8-8480-1e3b328f0784
finance/employee,Returns employee details data from practice's finance system.,https://api.sikkasoft.com/v4/finance/employee,https://apidocs.sikkasoft.com/#1ded7081-bf8d-4b8a-b4c3-b0fc5a9aaba3
finance/vendors,Returns vendors details from practice's finance system.,https://api.sikkasoft.com/v4/finance/vendors,https://apidocs.sikkasoft.com/#35fde5c6-c5db-4dfd-92d5-c7e1323c3ce0
finance/budgets,Returns budgets details data from practice's finance system.,https://api.sikkasoft.com/v4/finance/budgets,https://apidocs.sikkasoft.com/#46a04714-cf69-4353-a78c-b111f61b2efd
finance/customers,Returns customer details data from practice's finance system.,https://api.sikkasoft.com/v4/finance/customers,https://apidocs.sikkasoft.com/#c685cd84-0e5b-4dd0-858b-5e1eb521b1a3
finance/accounts,Returns accounts data from practice's finance system,https://api.sikkasoft.com/v4/finance/accounts,https://apidocs.sikkasoft.com/#4cb180f4-0c2e-438e-ba93-db2f8b4548f9
finance/transactions,Returns transaction details from practice's finance system.,https://api.sikkasoft.com/v4/finance/transactions,https://apidocs.sikkasoft.com/#3b10df23-07b9-4335-bbfb-78eae1393654
